unknown_total_rating,unknown_rating_count,Action_total_rating,Action_rating_count,Adventure_total_rating,Adventure_rating_count,Animation_total_rating,Animation_rating_count,Children's_total_rating,Children's_rating_count,Comedy_total_rating,Comedy_rating_count,Crime_total_rating,Crime_rating_count,Documentary_total_rating,Documentary_rating_count,Drama_total_rating,Drama_rating_count,Fantasy_total_rating,Fantasy_rating_count,Film-Noir_total_rating,Film-Noir_rating_count,Horror_total_rating,Horror_rating_count,Musical_total_rating,Musical_rating_count,Mystery_total_rating,Mystery_rating_count,Romance_total_rating,Romance_rating_count,Sci-Fi_total_rating,Sci-Fi_rating_count,Thriller_total_rating,Thriller_rating_count,War_total_rating,War_rating_count,Western_total_rating,Western_rating_count
0.0,0.0,42.0,15.0,23.0,8.0,13.0,5.0,18.0,8.0,101.0,31.0,11.0,4.0,5.0,1.0,136,42,0.0,0.0,3.0,1.0,3.0,1.0,8.0,4.0,15.0,5.0,65,19,26.0,8.0,58.0,21.0,16.0,5.0,0.0,0.0
0.0,0.0,91.0,24.0,46.0,13.0,20.0,6.0,13.0,5.0,123.0,33.0,76.0,17.0,10.0,2.0,208,51,1.0,1.0,19.0,4.0,36.0,8.0,8.0,3.0,32.0,8.0,65,16,35.0,11.0,102.0,26.0,30.0,7.0,8.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,16.0,5.0,5.0,1.0,55,17,0.0,0.0,3.0,1.0,8.0,2.0,5.0,1.0,9.0,3.0,27,8,0.0,0.0,10.0,4.0,2.0,1.0,0.0,0.0
0.0,0.0,350.0,97.0,182.0,51.0,48.0,13.0,78.0,23.0,334.0,98.0,80.0,23.0,0.0,0.0,292,82,9.0,4.0,9.0,3.0,45.0,13.0,64.0,19.0,17.0,5.0,148,43,162.0,46.0,215.0,62.0,109.0,29.0,27.0,7.0
0.0,0.0,21.0,5.0,9.0,2.0,5.0,1.0,5.0,1.0,30.0,6.0,10.0,2.0,0.0,0.0,67,15,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,9.0,2.0,29,6,5.0,1.0,25.0,6.0,16.0,4.0,5.0,1.0
0.0,0.0,181.0,53.0,141.0,43.0,51.0,14.0,95.0,28.0,154.0,46.0,8.0,3.0,0.0,0.0,148,43,23.0,6.0,6.0,2.0,12.0,4.0,58.0,17.0,16.0,5.0,93,24,116.0,33.0,88.0,27.0,80.0,22.0,6.0,2.0
0.0,0.0,68.0,16.0,59.0,14.0,22.0,5.0,18.0,4.0,85.0,20.0,10.0,3.0,10.0,2.0,83,22,5.0,1.0,8.0,2.0,15.0,3.0,12.0,3.0,17.0,4.0,27,8,86.0,18.0,58.0,13.0,22.0,6.0,14.0,3.0
0.0,0.0,70.0,18.0,19.0,5.0,5.0,1.0,5.0,1.0,65.0,18.0,21.0,5.0,0.0,0.0,88,21,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,49,13,17.0,5.0,47.0,12.0,19.0,4.0,0.0,0.0
1.0,1.0,85.0,58.0,46.0,31.0,16.0,9.0,38.0,27.0,185.0,132.0,41.0,29.0,15.0,13.0,290,188,8.0,6.0,5.0,3.0,28.0,15.0,17.0,8.0,32.0,17.0,105,61,40.0,21.0,138.0,76.0,25.0,14.0,2.0,2.0
0.0,0.0,28.0,6.0,5.0,1.0,4.0,1.0,4.0,1.0,20.0,5.0,3.0,1.0,0.0,0.0,55,13,0.0,0.0,8.0,2.0,5.0,1.0,4.0,1.0,13.0,3.0,24,5,3.0,1.0,33.0,8.0,18.0,4.0,0.0,0.0
0.0,0.0,522.0,158.0,254.0,76.0,96.0,24.0,136.0,37.0,535.0,158.0,195.0,52.0,14.0,4.0,623,168,35.0,10.0,26.0,6.0,159.0,47.0,95.0,25.0,82.0,23.0,228,64,282.0,78.0,466.0,135.0,112.0,28.0,36.0,12.0
0.0,0.0,369.0,95.0,232.0,58.0,58.0,13.0,146.0,36.0,337.0,88.0,128.0,32.0,21.0,5.0,615,146,29.0,7.0,42.0,11.0,167.0,47.0,108.0,26.0,82.0,21.0,216,56,191.0,48.0,302.0,77.0,184.0,41.0,71.0,18.0
0.0,0.0,107.0,25.0,61.0,14.0,29.0,7.0,34.0,8.0,185.0,47.0,72.0,16.0,12.0,3.0,346,81,4.0,1.0,42.0,9.0,27.0,6.0,58.0,14.0,69.0,15.0,150,36,51.0,12.0,147.0,34.0,88.0,20.0,23.0,5.0
0.0,0.0,22.0,7.0,6.0,2.0,0.0,0.0,8.0,3.0,31.0,9.0,21.0,6.0,0.0,0.0,100,26,0.0,0.0,4.0,1.0,7.0,2.0,6.0,2.0,27.0,8.0,41,12,7.0,2.0,44.0,13.0,10.0,3.0,0.0,0.0
0.0,0.0,248.0,87.0,105.0,39.0,35.0,11.0,38.0,12.0,215.0,70.0,133.0,41.0,18.0,6.0,612,196,6.0,2.0,29.0,9.0,112.0,41.0,43.0,14.0,61.0,17.0,175,59,112.0,40.0,279.0,92.0,92.0,31.0,22.0,7.0
0.0,0.0,81.0,20.0,33.0,8.0,10.0,3.0,8.0,2.0,89.0,23.0,44.0,9.0,0.0,0.0,96,22,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,14.0,3.0,43,11,41.0,11.0,74.0,18.0,19.0,5.0,0.0,0.0
0.0,0.0,184.0,69.0,109.0,39.0,40.0,13.0,61.0,20.0,195.0,69.0,44.0,18.0,1.0,1.0,135,44,6.0,2.0,0.0,0.0,90.0,24.0,35.0,13.0,17.0,5.0,95,32,118.0,37.0,139.0,48.0,49.0,13.0,18.0,6.0
0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,12.0,3.0,8.0,2.0,0.0,0.0,51,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,47,10,0.0,0.0,13.0,3.0,10.0,2.0,0.0,0.0
0.0,0.0,208.0,55.0,82.0,24.0,29.0,7.0,14.0,4.0,176.0,44.0,107.0,24.0,5.0,1.0,266,61,10.0,3.0,9.0,2.0,11.0,3.0,15.0,4.0,39.0,9.0,114,27,106.0,27.0,200.0,49.0,64.0,16.0,5.0,1.0
0.0,0.0,155.0,39.0,67.0,17.0,12.0,3.0,8.0,2.0,146.0,45.0,64.0,16.0,0.0,0.0,195,53,3.0,1.0,0.0,0.0,22.0,8.0,7.0,2.0,21.0,8.0,99,30,35.0,9.0,160.0,44.0,42.0,10.0,8.0,2.0
0.0,0.0,331.0,87.0,176.0,44.0,32.0,8.0,54.0,15.0,285.0,78.0,75.0,21.0,0.0,0.0,374,99,8.0,2.0,17.0,5.0,38.0,10.0,39.0,11.0,47.0,15.0,258,68,120.0,33.0,237.0,69.0,112.0,28.0,35.0,8.0
0.0,0.0,116.0,31.0,64.0,17.0,11.0,3.0,21.0,5.0,75.0,20.0,18.0,5.0,3.0,1.0,95,23,3.0,1.0,0.0,0.0,14.0,3.0,12.0,3.0,5.0,2.0,60,16,55.0,14.0,98.0,26.0,31.0,7.0,0.0,0.0
0.0,0.0,34.0,10.0,13.0,5.0,13.0,4.0,15.0,5.0,69.0,24.0,9.0,3.0,0.0,0.0,84,23,2.0,1.0,0.0,0.0,7.0,2.0,13.0,4.0,6.0,2.0,34,11,12.0,4.0,46.0,13.0,12.0,3.0,0.0,0.0
0.0,0.0,45.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,11.0,3.0,8.0,2.0,0.0,0.0,41,9,0.0,0.0,0.0,0.0,15.0,4.0,8.0,3.0,24.0,6.0,16,4,8.0,2.0,44.0,11.0,10.0,2.0,0.0,0.0
0.0,0.0,81.0,20.0,62.0,15.0,36.0,9.0,40.0,11.0,111.0,26.0,7.0,2.0,0.0,0.0,99,25,4.0,1.0,4.0,1.0,8.0,2.0,20.0,6.0,8.0,2.0,50,12,71.0,17.0,63.0,15.0,36.0,9.0,3.0,1.0
0.0,0.0,301.0,73.0,175.0,44.0,46.0,17.0,88.0,31.0,390.0,107.0,102.0,23.0,18.0,4.0,684,162,19.0,5.0,49.0,12.0,110.0,25.0,65.0,21.0,64.0,16.0,291,75,161.0,39.0,296.0,71.0,141.0,33.0,45.0,11.0
0.0,0.0,152.0,46.0,66.0,24.0,4.0,1.0,9.0,2.0,80.0,20.0,68.0,16.0,8.0,2.0,272,67,5.0,1.0,23.0,6.0,7.0,2.0,3.0,1.0,49.0,12.0,70,20,51.0,21.0,162.0,40.0,57.0,18.0,20.0,5.0
0.0,0.0,295.0,75.0,137.0,33.0,0.0,0.0,29.0,8.0,407.0,113.0,65.0,19.0,7.0,2.0,202,51,14.0,4.0,8.0,2.0,12.0,4.0,32.0,8.0,9.0,2.0,165,40,127.0,30.0,120.0,31.0,81.0,19.0,37.0,10.0
0.0,0.0,174.0,43.0,126.0,31.0,58.0,13.0,92.0,21.0,221.0,59.0,23.0,6.0,5.0,1.0,241,66,19.0,5.0,0.0,0.0,20.0,8.0,55.0,13.0,19.0,5.0,162,43,104.0,25.0,135.0,36.0,41.0,10.0,11.0,3.0
0.0,0.0,153.0,38.0,78.0,19.0,13.0,3.0,22.0,5.0,96.0,23.0,54.0,12.0,18.0,4.0,207,48,8.0,2.0,29.0,6.0,18.0,5.0,24.0,6.0,51.0,12.0,88,22,78.0,20.0,158.0,37.0,63.0,14.0,17.0,4.0
0.0,0.0,67.0,19.0,46.0,13.0,12.0,4.0,23.0,8.0,35.0,14.0,5.0,2.0,0.0,0.0,47,13,4.0,2.0,0.0,0.0,3.0,2.0,13.0,4.0,3.0,1.0,23,8,29.0,10.0,38.0,13.0,24.0,8.0,0.0,0.0
0.0,0.0,476.0,156.0,226.0,73.0,59.0,16.0,151.0,52.0,571.0,188.0,141.0,45.0,45.0,13.0,771,218,39.0,12.0,60.0,14.0,128.0,75.0,96.0,31.0,102.0,33.0,354,105,209.0,65.0,351.0,121.0,145.0,41.0,52.0,13.0
0.0,0.0,26.0,6.0,17.0,4.0,4.0,1.0,8.0,2.0,76.0,18.0,29.0,6.0,0.0,0.0,107,25,0.0,0.0,4.0,1.0,4.0,1.0,8.0,2.0,17.0,4.0,40,10,13.0,3.0,40.0,9.0,27.0,6.0,5.0,1.0
0.0,0.0,168.0,42.0,113.0,29.0,20.0,6.0,67.0,19.0,198.0,51.0,32.0,8.0,0.0,0.0,357,85,18.0,5.0,32.0,7.0,50.0,12.0,64.0,18.0,68.0,15.0,145,36,125.0,30.0,158.0,38.0,106.0,24.0,20.0,5.0
0.0,0.0,109.0,31.0,62.0,18.0,17.0,5.0,43.0,12.0,160.0,46.0,28.0,8.0,0.0,0.0,89,22,8.0,3.0,0.0,0.0,7.0,2.0,10.0,3.0,7.0,2.0,50,13,65.0,19.0,89.0,27.0,40.0,9.0,0.0,0.0
0.0,0.0,77.0,22.0,35.0,12.0,30.0,7.0,50.0,14.0,138.0,45.0,16.0,6.0,0.0,0.0,83,31,8.0,3.0,0.0,0.0,10.0,4.0,27.0,7.0,17.0,6.0,79,23,18.0,7.0,85.0,28.0,18.0,5.0,4.0,1.0
0.0,0.0,107.0,29.0,75.0,19.0,30.0,8.0,67.0,16.0,179.0,47.0,36.0,10.0,12.0,3.0,383,96,6.0,2.0,32.0,7.0,13.0,3.0,55.0,16.0,61.0,15.0,205,51,64.0,15.0,117.0,31.0,88.0,21.0,16.0,4.0
0.0,0.0,22.0,6.0,15.0,4.0,4.0,1.0,22.0,6.0,96.0,27.0,10.0,3.0,4.0,1.0,214,59,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,89,26,6.0,2.0,13.0,4.0,32.0,8.0,4.0,1.0
0.0,0.0,315.0,103.0,168.0,55.0,46.0,15.0,70.0,24.0,402.0,130.0,116.0,33.0,14.0,4.0,491,133,17.0,6.0,16.0,4.0,80.0,28.0,57.0,18.0,50.0,15.0,233,69,179.0,56.0,321.0,101.0,103.0,27.0,14.0,5.0
0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,13.0,4.0,0.0,0.0,46,12,0.0,0.0,3.0,1.0,15.0,5.0,0.0,0.0,11.0,4.0,13,3,5.0,2.0,31.0,10.0,7.0,2.0,0.0,0.0
0.0,0.0,158.0,44.0,173.0,50.0,43.0,16.0,153.0,52.0,110.0,42.0,12.0,5.0,1.0,1.0,163,48,26.0,8.0,0.0,0.0,34.0,14.0,59.0,21.0,11.0,3.0,60,17,104.0,29.0,46.0,15.0,55.0,15.0,17.0,5.0
0.0,0.0,255.0,94.0,114.0,40.0,38.0,12.0,63.0,20.0,313.0,111.0,124.0,36.0,5.0,1.0,527,165,10.0,4.0,34.0,8.0,57.0,17.0,70.0,21.0,61.0,18.0,213,73,140.0,46.0,277.0,96.0,103.0,29.0,32.0,10.0
0.0,0.0,67.0,14.0,52.0,11.0,0.0,0.0,5.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,9,5,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,11,4,62.0,13.0,15.0,3.0,11.0,4.0,0.0,0.0
0.0,0.0,376.0,115.0,191.0,62.0,48.0,19.0,91.0,43.0,358.0,131.0,103.0,29.0,5.0,1.0,433,128,19.0,6.0,17.0,5.0,69.0,27.0,57.0,20.0,46.0,13.0,204,61,175.0,52.0,272.0,78.0,95.0,27.0,27.0,8.0
0.0,0.0,285.0,74.0,130.0,35.0,33.0,7.0,14.0,5.0,209.0,57.0,85.0,20.0,0.0,0.0,214,50,11.0,4.0,19.0,4.0,22.0,6.0,24.0,6.0,34.0,8.0,104,26,154.0,39.0,199.0,50.0,91.0,21.0,21.0,5.0
0.0,0.0,101.0,33.0,50.0,16.0,0.0,0.0,20.0,6.0,253.0,74.0,47.0,14.0,0.0,0.0,308,82,8.0,2.0,3.0,1.0,16.0,5.0,2.0,1.0,41.0,12.0,147,42,78.0,23.0,105.0,33.0,62.0,18.0,19.0,5.0
0.0,0.0,159.0,39.0,65.0,17.0,0.0,0.0,4.0,3.0,24.0,10.0,37.0,9.0,0.0,0.0,72,17,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0,28,7,73.0,17.0,68.0,18.0,48.0,11.0,13.0,3.0
0.0,0.0,66.0,18.0,38.0,11.0,4.0,1.0,7.0,2.0,37.0,11.0,25.0,7.0,0.0,0.0,38,10,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,20,5,35.0,10.0,52.0,14.0,16.0,4.0,0.0,0.0
0.0,0.0,409.0,116.0,209.0,60.0,69.0,20.0,100.0,32.0,729.0,211.0,78.0,28.0,7.0,4.0,292,99,20.0,7.0,14.0,4.0,59.0,19.0,58.0,18.0,41.0,12.0,183,65,178.0,50.0,206.0,59.0,75.0,24.0,27.0,9.0
0.0,0.0,301.0,81.0,146.0,44.0,13.0,4.0,25.0,13.0,291.0,93.0,113.0,29.0,0.0,0.0,350,102,14.0,7.0,23.0,7.0,118.0,33.0,13.0,4.0,62.0,19.0,193,60,179.0,49.0,353.0,99.0,80.0,19.0,22.0,5.0
0.0,0.0,97.0,26.0,58.0,16.0,6.0,2.0,8.0,3.0,38.0,11.0,23.0,6.0,0.0,0.0,71,18,2.0,1.0,4.0,1.0,81.0,22.0,14.0,4.0,9.0,3.0,26,7,102.0,27.0,120.0,31.0,20.0,5.0,4.0,1.0
0.0,0.0,67.0,22.0,29.0,10.0,0.0,0.0,0.0,0.0,13.0,4.0,39.0,11.0,0.0,0.0,66,17,0.0,0.0,8.0,2.0,24.0,8.0,0.0,0.0,14.0,4.0,15,4,36.0,11.0,96.0,28.0,8.0,2.0,8.0,2.0
0.0,0.0,49.0,15.0,32.0,10.0,5.0,2.0,5.0,2.0,46.0,15.0,13.0,4.0,0.0,0.0,52,14,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,6.0,2.0,31,8,34.0,9.0,32.0,11.0,16.0,5.0,0.0,0.0
0.0,0.0,126.0,31.0,62.0,15.0,5.0,1.0,37.0,9.0,326.0,78.0,87.0,20.0,27.0,6.0,718,173,10.0,2.0,40.0,8.0,35.0,8.0,61.0,13.0,88.0,19.0,295,69,46.0,11.0,213.0,49.0,127.0,29.0,25.0,5.0
0.0,0.0,112.0,30.0,60.0,17.0,16.0,5.0,21.0,6.0,185.0,54.0,57.0,14.0,0.0,0.0,241,57,6.0,2.0,9.0,2.0,25.0,7.0,9.0,3.0,15.0,4.0,82,22,44.0,12.0,99.0,24.0,43.0,10.0,4.0,1.0
0.0,0.0,84.0,25.0,43.0,12.0,52.0,11.0,64.0,15.0,117.0,34.0,52.0,13.0,5.0,1.0,171,42,4.0,1.0,4.0,1.0,23.0,7.0,48.0,10.0,30.0,8.0,78,20,72.0,20.0,140.0,38.0,26.0,7.0,0.0,0.0
0.0,0.0,160.0,45.0,109.0,29.0,21.0,6.0,45.0,14.0,293.0,87.0,75.0,20.0,11.0,3.0,509,134,16.0,6.0,25.0,6.0,23.0,6.0,49.0,14.0,56.0,15.0,215,59,70.0,21.0,169.0,47.0,136.0,33.0,36.0,10.0
0.0,0.0,54.0,14.0,25.0,8.0,8.0,2.0,10.0,3.0,42.0,13.0,21.0,5.0,0.0,0.0,73,21,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,2.0,31,9,19.0,6.0,66.0,15.0,12.0,4.0,0.0,0.0
0.0,0.0,180.0,56.0,105.0,32.0,20.0,6.0,26.0,8.0,145.0,49.0,44.0,13.0,5.0,1.0,253,72,5.0,3.0,15.0,4.0,46.0,13.0,30.0,8.0,24.0,7.0,108,33,109.0,31.0,123.0,40.0,74.0,20.0,15.0,5.0
0.0,0.0,79.0,22.0,46.0,12.0,11.0,3.0,23.0,6.0,86.0,25.0,8.0,2.0,0.0,0.0,77,23,4.0,2.0,0.0,0.0,4.0,2.0,9.0,3.0,8.0,2.0,40,14,30.0,10.0,69.0,22.0,15.0,4.0,0.0,0.0
0.0,0.0,156.0,50.0,34.0,13.0,0.0,0.0,13.0,4.0,133.0,48.0,39.0,14.0,0.0,0.0,139,43,4.0,1.0,2.0,1.0,19.0,6.0,4.0,1.0,15.0,4.0,85,26,34.0,11.0,133.0,40.0,29.0,8.0,12.0,4.0
0.0,0.0,93.0,25.0,63.0,16.0,23.0,6.0,20.0,6.0,224.0,59.0,51.0,14.0,24.0,5.0,262,67,5.0,1.0,9.0,3.0,9.0,3.0,9.0,3.0,31.0,7.0,130,37,72.0,18.0,111.0,30.0,46.0,13.0,5.0,1.0
0.0,0.0,28.0,7.0,8.0,2.0,10.0,2.0,4.0,1.0,41.0,10.0,17.0,4.0,0.0,0.0,95,23,4.0,1.0,12.0,3.0,9.0,2.0,7.0,2.0,27.0,6.0,39,10,21.0,5.0,61.0,14.0,45.0,11.0,0.0,0.0
0.0,0.0,334.0,102.0,168.0,52.0,68.0,20.0,126.0,37.0,438.0,128.0,126.0,33.0,19.0,4.0,623,155,17.0,6.0,37.0,9.0,101.0,29.0,90.0,24.0,59.0,16.0,239,67,161.0,47.0,252.0,74.0,138.0,34.0,55.0,14.0
0.0,0.0,123.0,32.0,83.0,23.0,33.0,9.0,67.0,19.0,208.0,58.0,14.0,4.0,8.0,2.0,311,85,4.0,1.0,3.0,1.0,0.0,0.0,67.0,18.0,28.0,8.0,214,59,47.0,14.0,92.0,25.0,52.0,13.0,6.0,2.0
